STATISTIC,Statistic Label,Month,month_date,Meteorological Weather Station,UNIT,VALUE,latitude,longitude
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Mullingar,Number,144.50,53.525,-7.340
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Roches Point,Number,138.90,51.785,-8.252
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Rosslare,Number,153.40,52.261,-6.331
MTM03C1,Total Sunshine Hours,1959M04,1959-04-01,Shannon airport,Number,137.90,52.684,-8.925
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Belmullet,Number,261.70,54.226,-9.992
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Birr,Number,234.50,53.095,-7.902
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Valentia Observatory,Number,239.80,51.936,-10.244
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Claremorris,Number,236.00,53.719,-9.006
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Clones,Number,227.40,54.195,-7.234
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Dublin airport,Number,236.30,53.421,-6.270
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Kilkenny,Number,237.70,52.651,-7.256
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Malin head,Number,264.50,55.385,-7.378
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Mullingar,Number,235.20,53.525,-7.340
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Roches Point,Number,228.50,51.785,-8.252
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Rosslare,Number,271.70,52.261,-6.331
MTM03C1,Total Sunshine Hours,1959M05,1959-05-01,Shannon airport,Number,221.80,52.684,-8.925
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Belmullet,Number,198.10,54.226,-9.992
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Birr,Number,238.90,53.095,-7.902
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Valentia Observatory,Number,224.70,51.936,-10.244
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Casement,Number,,53.307,-6.447
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Claremorris,Number,185.70,53.719,-9.006
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Clones,Number,204.60,54.195,-7.234
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Cork airport,Number,,51.841,-8.491
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Dublin airport,Number,240.60,53.421,-6.270
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Galway,Number,,53.270,-9.056
MTM03C1,Total Sunshine Hours,1959M06,1959-06-01,Kilkenny,Number,267.00,52.651,-7.256
